File,Name,Rarity,Class,Base HP,Base ATK,Base DEF,Range,Final HP,Final ATK,Final DEF,Total Power
32_maou_13th_female_fullmask.md,The 13th Maou: Sovereign of Guile (Female) - Full Mask,UR,Overlord,2000,120,50,1,3000,180,75,1458
33_maou_13th_female_halfmask.md,The 13th Maou: Sovereign of Guile (Female) - Half Mask,UR,Overlord,2000,120,50,1,3000,180,75,1458
35_maou_13th_female_unmasked.md,The 13th Maou: Sovereign of Guile (Female) - Unmasked,UR,Overlord,2000,120,50,1,3000,180,75,1458
36_maou_13th_male_fullmask.md,The 13th Maou: Sovereign of Force (Male) - Full Mask,UR,Overlord,2000,120,50,1,3000,180,75,1458
37_maou_13th_male_halfmask.md,The 13th Maou: Sovereign of Force (Male) - Half Mask,UR,Overlord,2000,120,50,1,3000,180,75,1458
39_maou_13th_male_unmasked.md,The 13th Maou: Sovereign of Force (Male) - Unmasked,UR,Overlord,2000,120,50,1,3000,180,75,1458
34_maou_13th_female_skills.md,The 13th Maou (Female) - Skills & Abilities,R,Overlord,2000,120,50,1,2400,144,60,969
38_maou_13th_male_skills.md,The 13th Maou (Male) - Skills & Abilities,R,Overlord,2000,120,50,1,2400,144,60,969
01_ignis.md,#01 Ignis,SSR,Bastion,2500,30,60,1,3500,42,84,954
07_atlas.md,#07 Atlas,SSR,Bastion,2500,30,60,1,3500,42,84,954
08_bale.md,#08 Bale,SSR,Bastion,2500,30,60,1,3500,42,84,954
09_balthazar.md,#09 Balthazar,SSR,Bastion,2500,30,60,1,3500,42,84,954
10_bjorn.md,#10 Bjorn,SSR,Bastion,2500,30,60,1,3500,42,84,954
12_fenris.md,#12 Fenris,SSR,Bastion,2500,30,60,1,3500,42,84,954
20_magnus.md,#20 Magnus,SSR,Bastion,2500,30,60,1,3500,42,84,954
21_malina.md,#21 Malina,SSR,Bastion,2500,30,60,1,3500,42,84,954
28_hilda.md,#28 Hilda,SR,Bastion,2500,30,60,1,3250,39,78,836
06_astaroth.md,#06 Astaroth,SSR,Executioner,800,100,15,1,1120,140,21,825
18_lucien.md,#18 Lucien,SSR,Executioner,800,100,15,1,1120,140,21,825
26_thanatos.md,#26 Thanatos,SSR,Executioner,800,100,15,1,1120,140,21,825
11_camilla.md,#11 Camilla,SSR,Vanguard,1500,60,30,1,2100,84,42,810
14_kael.md,#14 Kael,SSR,Vanguard,1500,60,30,1,2100,84,42,810
16_leo.md,#16 Leo,SSR,Vanguard,1500,60,30,1,2100,84,42,810
19_lupa.md,#19 Lupa,SSR,Vanguard,1500,60,30,1,2100,84,42,810
25_selene.md,#25 Selene,SSR,Vanguard,1500,60,30,1,2100,84,42,810
02_lilith.md,#02 Lilith,SSR,Warlock,600,90,10,2,840,126,14,747
13_hecate.md,#13 Hecate,SSR,Warlock,600,90,10,2,840,126,14,747
17_lucia.md,#17 Lucia,SSR,Sage,600,90,10,2,840,126,14,747
22_morrigan.md,#22 Morrigan,SSR,Warlock,600,90,10,2,840,126,14,747
27_void.md,#27 Void,SSR,Warlock,600,90,10,2,840,126,14,747
profiles_vol2_mechanical_primal.md,Character Bible Vol. 2: Mechanical & Primal,R,Bastion,2500,30,60,1,3000,36,72,727
05_aquila.md,#05 Aquila,SSR,Ranger,600,80,10,3,840,112,14,720
15_kenji.md,#15 Kenji,SSR,Gunner,600,80,10,3,840,112,14,720
30_thorne.md,#30 Thorne,SR,Vanguard,1500,60,30,1,1950,78,39,712
29_nerissa.md,#29 Nerissa,SR,Sage,600,90,10,2,780,117,13,658
04_shade.md,#04 Shade,SR,Ranger,600,80,10,3,780,104,13,634
profiles_vol1_abyssal_celestial.md,Character Bible Vol. 1: Abyssal & Celestial,R,Warlock,600,90,10,2,720,108,12,575
profiles_vol3_mystic_mercenary.md,Character Bible Vol. 3: Mystic & Mercenary,R,Warlock,600,90,10,2,720,108,12,575
03_hecatina.md,#03 Hecatina,SSR,Support,700,40,20,2,980,56,28,531
23_oberon.md,#23 Oberon,SSR,Support,700,40,20,2,980,56,28,531
24_raphael.md,#24 Raphael,SSR,Support,700,40,20,2,980,56,28,531
31_vail.md,#31 Vail,SR,Support,700,40,20,2,910,52,26,472
