File,Name,Rarity,Class,Base HP,Base ATK,Base DEF,Range,Final HP,Final ATK,Final DEF,Total Power,AttackInterval,DeploymentCost,BlockCount,RespawnTime,CanAttackFlying,DamageType,AttackType,AttackPattern
03_fenris_alpha_of_the_north.md,"Fenris, Alpha of the North",SSR,Bastion,2500,30,60,1,3500,42,84,954,1.2,26,3,25.0,False,Melee,SingleTarget,All
05_malina_infernal_countess.md,"Malina, Infernal Countess",SSR,Bastion,2500,30,60,1,3500,42,84,954,1.2,26,3,25.0,False,Melee,SingleTarget,All
09_ignis_guard_captain.md,Ignis Guard Captain,SSR,Bastion,2500,30,60,1,3500,42,84,954,1.2,26,3,25.0,False,Melee,SingleTarget,All
02_asmodeus_lord_of_lust.md,"Asmodeus, Lord of Lust",UR,Assassin,800,100,15,1,1200,150,22,932,0.8,24,1,30.0,False,Melee,SingleTarget,All
03_lucifer_lord_of_pride.md,"Lucifer, Lord of Pride",UR,Vanguard,1500,60,30,1,2250,90,45,915,1.0,26,2,30.0,False,Melee,SingleTarget,All
01_balthazar_lord_of_sloth.md,"Balthazar, Lord of Sloth",UR,Warlock,600,90,10,2,900,135,15,843,1.5,26,1,30.0,True,Magic,AreaOfEffect,All
08_azalea_scarlet_viceroy.md,"Azalea, Scarlet Viceroy",SR,Bastion,2500,30,60,1,3250,39,78,836,1.2,22,3,22.0,False,Melee,SingleTarget,All
15_gorm_abyssal_dreadnought.md,"Gorm, Abyssal Dreadnought",SR,Bastion,2500,30,60,1,3250,39,78,836,1.2,22,3,22.0,False,Melee,SingleTarget,All
02_vladislav_crimson_duke.md,"Vladislav, Crimson Duke",SSR,Assassin,800,100,15,1,1120,140,21,825,0.8,20,1,25.0,False,Melee,SingleTarget,All
07_nyx_phantom_beastkin.md,"Nyx, Phantom Beastkin",SSR,Assassin,800,100,15,1,1120,140,21,825,0.8,20,1,25.0,False,Melee,SingleTarget,All
04_victor_fallen_paladin.md,"Victor, Fallen Paladin",SSR,Vanguard,1500,60,30,1,2100,84,42,810,1.0,22,2,25.0,False,Melee,SingleTarget,All
15_abyssal_dreadknight.md,Abyssal Dreadknight,SSR,Vanguard,1500,60,30,1,2100,84,42,810,1.0,22,2,25.0,False,Melee,SingleTarget,All
01_eidon_archlich_supreme.md,"Eidon, Archlich Supreme",SSR,Warlock,600,90,10,2,840,126,14,747,1.5,22,1,25.0,True,Magic,AreaOfEffect,All
10_lilith_duchess_of_crimson_allure.md,"Lilith, Duchess of Crimson Allure",SSR,Warlock,600,90,10,2,840,126,14,747,1.5,22,1,25.0,True,Magic,AreaOfEffect,All
04_vex_skeletal_warden.md,"Vex, Skeletal Warden",R,Bastion,2500,30,60,1,3000,36,72,727,1.2,19,3,20.0,False,Melee,SingleTarget,All
09_anubis_tomb_guardian.md,"Anubis, Tomb Guardian",R,Bastion,2500,30,60,1,3000,36,72,727,1.2,19,3,20.0,False,Melee,SingleTarget,All
13_grim_bone_juggernaut.md,"Grim, Bone Juggernaut",R,Bastion,2500,30,60,1,3000,36,72,727,1.2,19,3,20.0,False,Melee,SingleTarget,All
02_astaroth_queen_of_pain.md,"Astaroth, Queen of Pain",SR,Executioner,800,100,15,1,1040,130,20,727,0.8,18,1,22.0,False,Melee,SingleTarget,All
07_isolde_dusk_bound_reaver.md,"Isolde, Dusk-Bound Reaver",SR,Executioner,800,100,15,1,1040,130,20,727,0.8,18,1,22.0,False,Melee,SingleTarget,All
09_lucien_phantom_operative.md,"Lucien, Phantom Operative",SR,Assassin,800,100,15,1,1040,130,20,727,0.8,16,1,22.0,False,Melee,SingleTarget,All
13_blight_the_rotting_king.md,"Blight, The Rotting King",SR,Executioner,800,100,15,1,1040,130,20,727,0.8,18,1,22.0,False,Melee,SingleTarget,All
14_selene_stray_hunter.md,"Selene, Stray Hunter",SR,Assassin,800,100,15,1,1040,130,20,727,0.8,16,1,22.0,False,Melee,SingleTarget,All
17_kaelia_cursed_blademaster.md,"Kaelia, Cursed Blademaster",SR,Executioner,800,100,15,1,1040,130,20,727,0.8,18,1,22.0,False,Melee,SingleTarget,All
19_drusilla_seductive_spy.md,"Drusilla, Seductive Spy",SR,Assassin,800,100,15,1,1040,130,20,727,0.8,16,1,22.0,False,Melee,SingleTarget,All
04_mammon_lord_of_greed.md,"Mammon, Lord of Greed",UR,Mage,1000,50,25,1,1500,75,38,721,1.0,26,1,30.0,False,Melee,SingleTarget,All
05_belphegor_lord_of_gluttony.md,"Belphegor, Lord of Gluttony",UR,Tank,1000,50,25,1,1500,75,38,721,1.0,26,1,30.0,False,Melee,SingleTarget,All
06_leviathan_lord_of_envy.md,"Leviathan, Lord of Envy",UR,Summoner,1000,50,25,1,1500,75,38,721,1.0,26,1,30.0,False,Melee,SingleTarget,All
07_satan_lord_of_wrath.md,"Satan, Lord of Wrath",UR,Berserker,1000,50,25,1,1500,75,38,721,1.0,26,1,30.0,False,Melee,SingleTarget,All
06_aquila_the_harpy_queen.md,"Aquila, The Harpy Queen",SSR,Ranger,600,80,10,3,840,112,14,720,1.0,22,1,25.0,True,Physical,SingleTarget,Horizontal
11_shade_the_phantom_stalker.md,"Shade, The Phantom Stalker",SSR,Ranger,600,80,10,3,840,112,14,720,1.0,22,1,25.0,True,Physical,SingleTarget,Horizontal
04_camilla_ebon_lady_of_chains.md,"Camilla, Ebon Lady of Chains",SR,Vanguard,1500,60,30,1,1950,78,39,712,1.0,18,2,22.0,False,Melee,SingleTarget,All
10_toros_savage_packleader.md,"Toros, Savage Packleader",SR,Vanguard,1500,60,30,1,1950,78,39,712,1.0,18,2,22.0,False,Melee,SingleTarget,All
20_talon_sky_piercer.md,"Talon, Sky Piercer",SR,Vanguard,1500,60,30,1,1950,78,39,712,1.0,18,2,22.0,False,Melee,SingleTarget,All
03_morrigan_banefire_enchantress.md,"Morrigan, Banefire Enchantress",SR,Warlock,600,90,10,2,780,117,13,658,1.5,18,1,22.0,True,Magic,AreaOfEffect,All
12_azazel_ruined_choirboy.md,"Azazel, Ruined Choirboy",SR,Warlock,600,90,10,2,780,117,13,658,1.5,18,1,22.0,True,Magic,AreaOfEffect,All
18_vesper_void_caller.md,"Vesper, Void-Caller",SR,Warlock,600,90,10,2,780,117,13,658,1.5,18,1,22.0,True,Magic,AreaOfEffect,All
08_valerius_crimson_defector.md,"Valerius, Crimson Defector",SSR,Tactician,1000,50,25,1,1400,70,35,640,1.0,22,1,25.0,False,Melee,SingleTarget,All
12_blood_drinker._demon.md,Kaelthas Blood Drinker,SSR,Mage,1000,50,25,1,1400,70,35,640,1.0,22,1,25.0,False,Melee,SingleTarget,All
13_infernal_behemoth.md,Infernal Behemoth,SSR,Tank,1000,50,25,1,1400,70,35,640,1.0,22,1,25.0,False,Melee,SingleTarget,All
05_zephyra_storm_bound_duchess.md,"Zephyra, Storm-Bound Duchess",SR,Ranger,600,80,10,3,780,104,13,634,1.0,18,1,22.0,True,Physical,SingleTarget,Horizontal
11_lyra_blood_moon_sentinel.md,"Lyra, Blood-Moon Sentinel",SR,Ranger,600,80,10,3,780,104,13,634,1.0,18,1,22.0,True,Physical,SingleTarget,Horizontal
05_thresh_wraith_executioner.md,"Thresh, Wraith Executioner",R,Executioner,800,100,15,1,960,120,18,633,0.8,15,1,20.0,False,Melee,SingleTarget,All
